Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-482.94507	62.12595	-284.05127	-650.53625	79.0	-0.97206205	0.5512561	0.066568196	-2.5486436	10000	5.7121117e-08	52010.832	-0.01975178	-5591.612	1.119482	0.011840531	0.14905964	79.0	6.713722467422485
1	-473.228	59.57671	-321.32623	-623.08295	79.0	-15.224308	0.42071077	-11.159961	-15.3884535	20000	1.9868214e-07	43360.02	-0.021345282	-1975.1002	1.1212267	0.013612513	0.16196479	79.0	12.401271343231201
2	-452.77783	63.440475	-285.74667	-579.7852	79.0	-20.870007	0.1817149	-18.394854	-20.929731	30000	-7.8231096e-08	38362.223	-0.019064194	-1693.9596	1.0722092	0.0076314104	0.13115247	79.0	16.45320177078247
3	-447.736	60.148132	-310.53033	-616.41	79.0	-25.997232	0.19706976	-22.81742	-26.04375	40000	4.1599076e-08	36115.703	-0.01716975	-1581.524	1.0723201	0.006887956	0.11014406	79.0	21.53752565383911
4	-438.15134	60.85716	-321.6421	-613.2472	79.0	-30.85938	0.8366497	-18.766523	-31.010048	50000	3.7873786e-08	32423.258	-0.02120697	-1413.3881	1.0616281	0.011068106	0.14165667	79.0	25.81041979789734
5	-415.93863	55.11354	-289.07425	-574.06616	79.0	-35.105453	3.2273195	-0.1520687	-35.751404	60000	1.27280755e-08	27264.834	-0.021903796	-1211.1041	1.0172015	0.014778767	0.13615446	79.0	29.711206912994385
6	-408.67743	59.655827	-267.71402	-585.298	79.0	-38.664314	5.739382	4.214036	-40.193405	70000	-1.05549894e-07	25951.703	-0.018674811	-1184.3545	0.99033755	0.008917829	0.120748304	79.0	33.63908576965332
7	-411.5505	61.667107	-239.6817	-618.2932	79.0	-42.59378	7.2155266	4.084008	-44.64483	80000	6.3329935e-08	25285.838	-0.018592326	-1164.8506	0.9868188	0.008568966	0.10414165	79.0	38.0403094291687
8	-401.80798	65.00085	-217.7755	-634.0671	79.0	-46.67389	8.508064	7.1847095	-49.116646	90000	-6.208817e-08	22766.844	-0.020468796	-1048.7301	0.96045905	0.01523647	0.12755102	61.0	42.24315690994263
9	-393.11887	66.707214	-220.20164	-565.7858	79.0	-50.551987	9.49896	6.394397	-53.418495	100000	-3.290673e-08	20082.867	-0.019326432	-921.6286	0.9696514	0.0065628677	0.112845145	79.0	46.76295804977417
10	-394.30978	68.23366	-246.31792	-569.86536	79.0	-53.88049	11.304734	12.748972	-57.505806	110000	-5.5879354e-08	19159.018	-0.020942435	-886.21027	0.94230396	0.012876173	0.13695477	79.0	51.07978415489197
11	-397.379	60.3489	-267.43933	-572.67816	79.0	-57.439014	12.00731	11.470504	-61.555984	120000	4.346172e-08	18692.81	-0.020263338	-907.71405	0.9156541	0.015313662	0.13095237	60.0	54.64407420158386
12	-384.93478	67.102844	-190.4407	-571.75714	79.0	-61.654785	12.377683	13.945006	-65.66971	130000	-7.388493e-08	16020.313	-0.020304149	-774.92255	0.91199344	0.013401923	0.13505402	79.0	59.8995316028595
13	-385.3068	75.93904	-194.19147	-628.9116	79.0	-64.50274	14.12241	11.504454	-69.54642	140000	1.2417635e-09	16044.425	-0.02142076	-778.3711	0.93056864	0.011639965	0.12755102	79.0	64.53600597381592
14	-386.67038	66.7684	-223.54146	-584.67444	79.0	-68.29834	14.536722	16.784601	-73.439316	150000	3.7252903e-09	15135.247	-0.021547714	-760.9246	0.89833075	0.011924912	0.12324929	79.0	68.88870573043823
15	-370.17447	68.67657	-218.50417	-581.17664	79.0	-71.51059	15.963926	9.953173	-77.353165	160000	-2.2351742e-08	12838.524	-0.022253478	-643.2632	0.88037515	0.009566214	0.110244095	79.0	72.78482508659363
16	-365.20493	65.62996	-214.07362	-540.575	79.0	-74.36383	17.700834	32.18652	-81.00417	170000	-1.9868216e-08	11812.894	-0.023758361	-610.1799	0.8453775	0.014713203	0.13405362	79.0	77.69255828857422
17	-366.72394	68.38557	-245.6862	-596.5987	79.0	-77.934326	17.067741	13.787392	-84.55078	180000	-1.1920929e-07	11623.067	-0.02108136	-609.16034	0.86056757	0.012554939	0.13605441	79.0	82.45174789428711
18	-365.42755	69.72822	-225.19205	-534.43884	79.0	-79.87564	20.07512	19.613356	-88.10496	190000	-7.636845e-08	10667.511	-0.021685848	-574.19434	0.8495864	0.011505404	0.11794718	79.0	87.12648630142212
19	-363.57007	71.989815	-181.3508	-587.1835	79.0	-82.9764	20.529509	17.68794	-91.611855	200000	-1.9868216e-08	10123.256	-0.019012973	-540.2827	0.8241946	0.014938082	0.113145255	54.0	92.05825281143188
20	-352.4331	66.57296	-154.77376	-519.7685	79.0	-85.355515	22.407986	14.285564	-95.05306	210000	-1.3705964e-07	8466.276	-0.021792747	-479.44272	0.8193211	0.010749064	0.12224891	79.0	96.50646686553955
21	-348.07147	64.957855	-158.95251	-554.3406	79.0	-87.85998	23.094646	12.556761	-98.26263	220000	-1.7384687e-08	7775.1	-0.01857648	-439.3304	0.8197072	0.008142311	0.095338136	79.0	101.77930641174316
22	-340.93677	72.66593	-177.9604	-570.3352	79.0	-91.09663	22.84726	11.99498	-101.3809	230000	-5.2154064e-08	7185.611	-0.021842374	-411.04337	0.8133259	0.008700755	0.106842734	79.0	105.84846496582031
23	-344.67773	66.39798	-142.06604	-545.97076	79.0	-92.17296	25.326775	13.000676	-104.33948	240000	2.483527e-09	6849.3794	-0.02334491	-404.2797	0.79364586	0.0135335745	0.12805122	79.0	110.3005268573761
24	-347.29626	64.50521	-194.33223	-560.6876	79.0	-94.07705	26.775625	13.844648	-107.30449	250000	4.4703484e-08	6549.879	-0.02227685	-409.9016	0.7804763	0.0115729645	0.13025211	79.0	114.61495566368103
25	-338.04742	65.036156	-215.21591	-612.4346	79.0	-96.47519	27.792467	18.026411	-110.31243	260000	-4.2219956e-08	5808.4634	-0.021224147	-389.32104	0.74293786	0.008794878	0.11094438	79.0	119.42097234725952
26	-338.68997	68.29628	-192.50961	-488.67734	79.0	-100.04698	27.471151	10.658966	-113.173676	270000	-7.202228e-08	5680.4116	-0.020664953	-395.4751	0.7353794	0.011677322	0.10064026	79.0	124.58753824234009
27	-327.93723	68.5	-181.8353	-560.9184	79.0	-100.91388	29.88282	17.480268	-115.99739	280000	-1.9868216e-08	4830.193	-0.018497197	-341.70743	0.7163394	0.01014991	0.09363746	79.0	128.32346868515015
28	-332.9006	70.02969	-190.74437	-578.1514	79.0	-101.73046	30.968582	17.952402	-118.6167	290000	1.6142925e-08	4953.6655	-0.022914832	-347.15005	0.68847245	0.007858511	0.10634253	79.0	132.4072027206421
29	-331.8184	64.46977	-153.27225	-604.7678	79.0	-105.40271	30.565159	14.380203	-121.25619	300000	3.7252903e-08	4538.1567	-0.020456173	-308.57553	0.68170977	0.011458141	0.111044414	79.0	137.0349040031433
30	-336.30667	62.140873	-211.94089	-523.67444	79.0	-107.13933	31.322432	28.23531	-123.85535	310000	2.9802322e-08	4605.3604	-0.020018121	-334.54105	0.6723776	0.01226646	0.11054423	79.0	141.52727389335632
31	-312.91852	68.357254	-174.35368	-474.11307	79.0	-109.167915	32.82362	28.006998	-126.65086	320000	-1.7384687e-08	3425.2122	-0.020665186	-272.5614	0.66910547	0.009151759	0.101840734	79.0	145.59079551696777
32	-316.29266	68.75981	-153.23618	-541.4327	79.0	-108.34956	34.272957	15.699667	-128.79047	330000	-1.7384687e-08	3660.5889	-0.020092627	-332.85876	0.67502147	0.013050941	0.10504202	79.0	149.4255928993225
33	-313.03793	64.21451	-136.26178	-519.8525	79.0	-110.05438	35.597027	14.718474	-130.99771	340000	9.934108e-09	3115.2422	-0.01962074	-303.2893	0.6531756	0.010214391	0.095438175	79.0	154.82899165153503
34	-313.6413	69.72727	-147.67824	-499.97742	79.0	-111.2943	36.50451	11.238419	-133.06203	350000	-2.142042e-08	3268.4626	-0.02006369	-242.00691	0.6568854	0.0090469355	0.10014006	79.0	159.67577958106995
35	-311.79495	73.822815	-172.60057	-651.8914	79.0	-112.240845	36.342373	18.27938	-135.109	360000	-2.4835268e-08	3140.886	-0.021430938	-230.08209	0.66263884	0.009325025	0.10694278	79.0	163.47385454177856
36	-314.23178	76.40139	-200.14195	-636.7357	79.0	-111.749115	37.532455	19.164787	-137.05795	370000	4.8428774e-08	3208.7422	-0.020709855	-283.45535	0.61871743	0.010444433	0.10484194	79.0	167.854984998703
37	-302.98114	69.717545	-154.5721	-521.6128	79.0	-115.3245	37.286354	15.809111	-139.1455	380000	1.5522042e-08	2548.4807	-0.020613687	-274.16428	0.6138298	0.010975372	0.10584233	79.0	172.0287446975708
38	-301.73392	66.983215	-170.92429	-596.6059	79.0	-112.236595	40.203	20.635345	-140.91681	390000	2.9802322e-08	2405.5486	-0.019673271	-255.53845	0.6042966	0.008745718	0.08953581	79.0	176.48203587532043
39	-284.1674	55.62091	-158.01904	-427.6789	79.0	-114.7448	39.89131	23.191572	-142.59671	400000	-1.4901161e-08	1638.1366	-0.020218333	-180.08925	0.5820697	0.01124299	0.1057423	79.0	180.2245728969574
40	-295.21213	70.79472	-153.2992	-535.9399	79.0	-114.49805	39.651897	19.069586	-143.73547	410000	-3.973643e-08	2199.089	-0.020644711	-208.68773	0.5755381	0.009824299	0.112244904	79.0	185.54767370224
41	-286.19885	64.75469	-129.72124	-530.3607	79.0	-117.09224	39.93239	15.14827	-145.1979	420000	-2.2351742e-08	1947.9371	-0.02008013	-171.91695	0.5539172	0.010480191	0.09583833	79.0	189.81630659103394
42	-286.51907	64.511055	-114.28384	-519.18134	79.0	-115.89244	40.156384	15.214771	-146.48958	430000	-2.483527e-09	1826.7875	-0.018966855	-180.83904	0.544458	0.008567717	0.09033614	79.0	193.6829047203064
43	-283.0312	56.580868	-166.16896	-435.99655	79.0	-117.00899	40.933018	26.195248	-147.75858	440000	-7.450581e-09	1646.7611	-0.018642986	-183.83022	0.52699846	0.00749556	0.079931974	79.0	198.325927734375
44	-280.7824	64.71206	-134.26718	-532.32635	79.0	-117.23685	42.28716	12.170198	-148.96405	450000	1.2417634e-08	1763.3887	-0.019645564	-180.83331	0.5320771	0.009687589	0.09693878	79.0	202.11083483695984
45	-271.2818	62.96574	-135.04182	-487.0252	79.0	-118.44459	41.708145	15.347282	-150.04964	460000	-1.8626451e-08	1665.8922	-0.017460587	-231.49585	0.49472427	0.008524004	0.09343737	79.0	207.46792006492615
46	-258.50543	65.65632	-129.8242	-465.63867	79.0	-114.97924	42.608315	25.626534	-150.90407	470000	4.967054e-09	1580.02	-0.020110661	-225.03694	0.51257974	0.013629898	0.101840734	79.0	211.8054597377777
47	-255.17644	55.982246	-104.338646	-491.26764	79.0	-112.01827	43.121376	16.792908	-151.42378	480000	-1.4901161e-08	1204.145	-0.018972272	-176.01103	0.5099469	0.0059595336	0.08743497	79.0	216.13285565376282
48	-260.86377	59.76029	-134.48445	-438.84595	79.0	-107.89561	43.11145	26.433937	-151.89177	490000	2.9802322e-08	1479.9321	-0.018925129	-251.07649	0.47736862	0.010658053	0.09743897	79.0	220.23767971992493
49	-259.34015	62.04703	-123.972786	-490.38657	79.0	-113.731155	42.579407	27.533556	-152.44702	500000	1.2417635e-09	1424.8097	-0.018544726	-174.11891	0.4809165	0.006902326	0.08503401	79.0	224.39024782180786
50	-258.14853	57.148964	-114.15974	-422.97778	79.0	-113.89123	41.601685	21.39032	-153.02187	510000	-9.934108e-09	1319.7053	-0.01925107	-214.15437	0.46206757	0.010745477	0.09483794	79.0	228.78320837020874
51	-247.02675	60.35752	-114.625374	-473.18777	79.0	-114.93485	42.885067	23.848183	-153.56355	520000	9.934108e-09	1427.8232	-0.020208655	-240.35785	0.46585998	0.011219152	0.09883953	79.0	232.7994465827942
52	-241.53922	59.35028	-119.26378	-453.19565	79.0	-109.82588	42.4691	11.86941	-153.93456	530000	7.450581e-09	1316.7471	-0.018198013	-240.17969	0.43940094	0.0062065315	0.09743897	79.0	237.8608522415161
53	-241.56523	52.680584	-116.06877	-402.8733	79.0	-108.144135	42.445168	13.314068	-154.26859	540000	-6.208817e-09	1159.9803	-0.01887334	-286.83676	0.4551108	0.009044189	0.09583833	79.0	242.578471660614
54	-236.38095	71.36345	-107.801346	-596.8695	79.0	-107.64487	42.456978	6.4456086	-154.53282	550000	1.1175871e-08	1603.0184	-0.019389616	-257.57266	0.44003424	0.010850045	0.09323729	79.0	247.94524788856506
55	-233.95285	52.693645	-127.186584	-395.8962	79.0	-104.922005	42.867813	12.404122	-154.9341	560000	-1.6763806e-08	973.0158	-0.019765273	-170.47069	0.43314755	0.010229564	0.10504202	79.0	252.5093469619751
56	-231.55475	54.772877	-128.99028	-409.85297	79.0	-106.69693	40.630013	18.723343	-155.15796	570000	1.4901161e-08	1137.1986	-0.018967131	-226.50163	0.4236267	0.008856411	0.09603841	79.0	256.2890546321869
57	-224.82796	58.44236	-95.731865	-490.8209	79.0	-106.230316	42.04746	16.633469	-155.3291	580000	-1.2417635e-09	1293.8854	-0.020534212	-285.81982	0.42082867	0.008585186	0.10154062	79.0	260.61825227737427
58	-226.5153	56.294933	-110.17029	-360.61118	79.0	-101.54623	42.32829	12.08139	-155.4232	590000	-9.934108e-09	1209.1599	-0.01694695	-219.55928	0.42036322	0.0067331586	0.084733896	79.0	264.42925238609314
59	-233.57106	51.7445	-133.33891	-380.7492	79.0	-102.67701	41.50732	19.293198	-155.64716	600000	4.967054e-09	1112.5376	-0.018811883	-199.08081	0.41372332	0.0070052035	0.08653461	79.0	268.2418270111084
60	-223.00249	55.708885	-111.3493	-404.39816	79.0	-104.16081	42.13218	11.107695	-155.83936	610000	-9.313226e-09	1211.9132	-0.018024378	-222.0664	0.39321408	0.009760152	0.09653861	79.0	273.5023386478424
61	-225.97026	54.580658	-128.69283	-360.2933	79.0	-100.165665	40.746433	7.364004	-155.92535	620000	-4.967054e-09	1091.809	-0.017610855	-196.73792	0.37880877	0.0074259657	0.087735094	79.0	278.0840907096863
62	-209.96625	47.83993	-118.638275	-341.42026	79.0	-101.20602	41.50384	4.6281486	-155.95723	630000	0.0	987.9473	-0.018430104	-221.98816	0.38573995	0.0114010535	0.08673469	79.0	282.47024035453796
63	-215.73973	52.755898	-122.83373	-486.69443	79.0	-96.33993	40.404324	3.0665722	-155.87001	640000	1.9868216e-08	1101.2113	-0.018619359	-220.04558	0.4053711	0.009996389	0.09303722	79.0	287.6492831707001
64	-215.98209	52.899296	-107.85769	-337.01648	79.0	-97.301346	40.39432	74.628716	-156.08218	650000	4.967054e-09	1077.4569	-0.017268857	-210.30931	0.38322076	0.008710582	0.08283313	79.0	291.9653437137604
65	-195.4598	45.198933	-93.31076	-328.31497	79.0	-96.3912	40.59086	16.544344	-156.33707	660000	9.934108e-09	806.1292	-0.018459061	-204.40874	0.37066212	0.008653319	0.0952381	79.0	295.7109682559967
66	-206.57037	47.958603	-108.41847	-429.0941	79.0	-88.90125	37.325104	5.1046553	-154.44647	670000	7.450581e-09	871.5078	-0.018556079	-179.93976	0.37086228	0.009560478	0.08593438	79.0	299.59135580062866
67	-201.38315	47.880573	-112.96924	-371.02914	79.0	-95.79734	40.005634	17.499266	-156.44365	680000	-1.2417635e-09	877.1636	-0.018027024	-146.63605	0.37157393	0.009202756	0.0882353	79.0	304.031209230423
68	-199.91026	47.73281	-94.21556	-373.99182	79.0	-90.867096	37.950745	8.497814	-156.29224	690000	6.208817e-09	928.28687	-0.018926825	-186.5293	0.36403528	0.010188455	0.10034013	79.0	308.6811029911041
69	-203.29004	60.560474	-91.109085	-514.71356	79.0	-91.79687	37.76142	3.25321	-156.36478	700000	7.450581e-09	1206.0469	-0.019092802	-230.83704	0.3707633	0.011563167	0.09303721	79.0	312.86527919769287
70	-197.89717	45.62974	-94.34056	-319.79697	79.0	-89.549774	38.5976	11.088287	-156.69125	710000	-9.934108e-09	837.89215	-0.017612772	-168.8329	0.36801648	0.007948817	0.08673469	79.0	318.07327008247375
71	-201.85408	47.7901	-116.02161	-377.15262	79.0	-89.24996	38.207012	17.105114	-156.2105	720000	-9.934108e-09	887.237	-0.0202982	-225.99376	0.3794113	0.011593164	0.10364146	79.0	323.63645219802856
72	-198.10985	43.631943	-96.48082	-384.76013	79.0	-93.20011	40.066044	5.461397	-156.79549	730000	-2.483527e-09	837.63214	-0.01944073	-267.59616	0.37628403	0.009733606	0.102440976	79.0	328.03142833709717
73	-198.3923	44.886917	-100.033035	-336.71417	79.0	-87.77263	39.266033	4.4664927	-155.61816	740000	-1.2417634e-08	887.7881	-0.018553233	-208.12883	0.3651588	0.009027512	0.0977391	79.0	332.7491159439087
74	-194.4732	49.956627	-101.234375	-328.6991	79.0	-89.02236	38.701324	22.424974	-156.09554	750000	-8.692344e-09	878.8823	-0.018257124	-148.48946	0.38071883	0.008664553	0.094837934	79.0	336.5422041416168
75	-184.01157	42.538395	-107.231995	-370.28098	79.0	-86.379425	37.798553	13.106656	-155.69937	760000	-1.9868216e-08	774.63214	-0.019007698	-205.75166	0.35235667	0.013018672	0.098139256	79.0	341.27772092819214
76	-193.76651	48.784805	-106.65776	-344.65375	79.0	-82.19083	36.80795	4.9031286	-149.34077	770000	0.0	934.8613	-0.017202618	-186.13936	0.363132	0.009546372	0.08713486	79.0	345.2319941520691
77	-192.9455	47.48767	-93.53583	-388.83228	79.0	-86.78817	38.212646	5.6116066	-156.26205	780000	-2.2351742e-08	819.3808	-0.01836726	-149.37357	0.37898687	0.0061618076	0.09843937	79.0	349.0261445045471
78	-189.96019	47.59933	-94.26085	-326.66983	79.0	-86.53821	37.823223	4.535763	-155.9119	790000	-4.967054e-09	844.3752	-0.018316835	-155.93848	0.3644576	0.008544762	0.09043618	79.0	353.74506664276123
79	-180.84146	42.575867	-83.180626	-302.03177	79.0	-85.01498	37.609367	8.312909	-148.42311	800000	4.967054e-09	740.7505	-0.018317088	-123.26199	0.3542347	0.009148029	0.087134846	79.0	358.3787999153137
80	-180.83261	44.105556	-102.49294	-302.49304	79.0	-81.030624	35.51834	17.143497	-139.39975	810000	-8.692344e-09	643.56964	-0.019427862	-100.48002	0.35888776	0.011061512	0.1027411	79.0	363.01354026794434
81	-183.18681	44.999348	-86.42154	-329.5927	79.0	-79.746086	35.397175	6.0547686	-140.30263	820000	-8.071463e-09	718.0908	-0.019526703	-152.5721	0.3676335	0.01264434	0.09983993	79.0	367.62303352355957
