Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-554.2277	86.25623	-263.0144	-741.22656	79.0	-0.3168311	0.35729608	0.9465939	-1.4292009	10000	0.089408636	65379.035	-0.0019347575	-5880.915	1.0838706	0.0006153063	9.279140710830688
1	-560.41675	79.81866	-385.7862	-746.67303	79.0	-13.692337	0.3714677	-10.112505	-13.878532	20000	0.08176779	60540.04	-0.000990333	-2460.995	1.1388688	0.0005164583	17.805115461349487
2	-536.6797	79.03631	-315.8167	-709.476	79.0	-19.595146	0.14173448	-13.648064	-19.650875	30000	0.078058854	53045.367	-0.0016647212	-2025.7217	1.1374266	0.00032805157	26.115349769592285
3	-523.89154	84.61316	-347.9134	-711.21173	79.0	-24.815071	0.101128444	-23.108742	-24.850952	40000	0.052530773	48749.785	-0.0008034888	-1820.1758	1.1671262	4.1313935e-05	34.310401916503906
4	-532.16846	81.381966	-332.19934	-723.1763	79.0	-29.778244	0.10537036	-25.781582	-29.803074	50000	0.058041994	48240.36	-0.00095594826	-1819.0723	1.1826093	0.0008041004	42.64129900932312
5	-535.73175	79.412926	-348.6864	-753.8416	79.0	-34.71596	0.295058	-27.500307	-34.774418	60000	0.055374034	46675.625	-0.0015199552	-1774.4443	1.1821877	0.0008473478	50.851032733917236
6	-517.6294	83.42842	-305.1594	-695.9066	79.0	-39.282074	1.841287	-18.84659	-39.70735	70000	0.03995034	42122.895	-0.0014119553	-1616.0273	1.1991067	0.00092935096	59.168708086013794
7	-515.79224	70.15896	-324.3356	-655.1516	79.0	-43.206738	5.1116853	-2.2760677	-44.44076	80000	0.030400425	40254.98	-0.0013538115	-1563.4395	1.2288078	0.00032314818	67.58111143112183
8	-519.0139	81.75653	-284.4004	-711.6197	79.0	-47.003468	7.972836	12.8606205	-49.140503	90000	0.008311177	38851.773	-0.001814193	-1498.1719	1.2425861	0.0015443515	75.98771929740906
9	-509.24957	71.89244	-292.79825	-741.3771	79.0	-51.156445	9.198245	14.02202	-53.78836	100000	0.004223789	35582.508	-0.00071126083	-1393.6611	1.257308	0.00021303963	84.61496615409851
10	-515.64557	72.39246	-341.54077	-687.9186	79.0	-55.04626	10.947596	19.108591	-58.31737	110000	-0.0010569189	34712.72	-0.0016123563	-1353.5503	1.2584989	0.00090029166	92.83029294013977
11	-489.83215	73.232574	-319.24463	-668.24164	79.0	-59.10071	11.754755	9.268865	-62.811535	120000	-0.0123512205	30329.053	-0.0007401835	-1202.6914	1.261871	0.0010581452	101.09529185295105
12	-490.52515	74.556	-289.93832	-693.3852	79.0	-62.825844	13.200907	16.20684	-67.101395	130000	-0.015006194	28991.281	-0.0012386839	-1164.5952	1.2775608	0.00029323262	109.20049929618835
13	-490.29074	77.38315	-284.06158	-657.92975	79.0	-66.34425	14.5886	20.028057	-71.34277	140000	-0.015837353	27580.8	-0.0012771194	-1113.728	1.2796872	0.00086651946	118.28562879562378
14	-484.33658	69.84203	-340.5745	-642.9443	79.0	-69.716835	16.140251	24.690495	-75.52316	150000	-0.019574568	25522.518	-0.00068311405	-1030.794	1.2910997	0.0006105089	127.3953583240509
15	-484.98224	83.37184	-304.70224	-696.408	79.0	-73.159134	16.978254	21.707952	-79.60097	160000	-0.02080722	25294.477	-0.00044795172	-1025.2119	1.2893736	0.0005725915	136.0458369255066
16	-480.81403	67.45592	-295.6364	-630.9802	79.0	-76.70565	18.225697	14.875004	-83.70379	170000	-0.034835417	22709.812	-0.00097326096	-946.47705	1.2859625	0.0009984814	144.67952132225037
17	-483.17465	89.6083	-252.78362	-681.4149	79.0	-79.39403	20.41957	44.157066	-87.69364	180000	-0.027966056	22696.023	-0.0010692175	-943.999	1.2827251	0.0009833069	153.53208565711975
18	-481.29562	78.1738	-286.20853	-662.4806	79.0	-83.13424	21.10319	19.848377	-91.680435	190000	-0.038155943	21391.531	-0.0005581686	-905.1797	1.2722142	0.0007135514	161.58191013336182
19	-465.64246	71.38806	-272.6781	-681.04724	79.0	-86.44469	22.421343	22.39675	-95.6297	200000	-0.026114022	18502.002	-0.0014795475	-787.03125	1.2809385	0.0007184233	169.76316118240356
20	-468.30606	68.50057	-304.5586	-671.7175	79.0	-88.28492	24.855112	12.585011	-99.35167	210000	-0.030742135	18254.432	-0.0003051916	-786.3157	1.2773175	0.0009384568	178.42009449005127
21	-470.39667	81.32917	-243.03583	-674.0477	79.0	-91.77203	25.207468	14.2080765	-103.093216	220000	-0.029254142	17365.75	-0.0009121455	-737.00146	1.2723517	0.00023202284	186.51335430145264
22	-468.66974	85.36356	-307.18903	-654.46136	79.0	-94.16245	27.009905	16.125809	-106.78573	230000	-0.027519632	16996.826	-0.00032542093	-740.51465	1.2681352	-5.7044403e-05	194.64014387130737
23	-458.9103	80.99766	-283.038	-694.34094	79.0	-97.67687	27.397137	17.834944	-110.47697	240000	-0.032751452	15540.625	-0.00050264667	-700.34204	1.242914	-4.9110386e-05	203.1992781162262
24	-455.11832	70.448814	-265.7457	-617.0677	79.0	-99.18395	30.379961	16.418167	-114.059975	250000	-0.04391583	14081.494	-0.0006208811	-648.9075	1.246338	0.0001394828	211.20760941505432
25	-461.7214	79.097244	-247.02167	-659.8656	79.0	-102.11781	30.958124	20.489668	-117.529526	260000	-0.047057666	14372.69	-0.00074718404	-679.81396	1.2336475	0.00064152636	219.2324709892273
26	-458.87637	79.41748	-228.16866	-608.82104	79.0	-104.922676	32.183693	12.714279	-121.1326	270000	-0.06494344	13827.402	-0.00070597394	-655.6355	1.2128698	0.00043576106	227.31233310699463
27	-450.37225	81.89131	-237.08751	-627.4773	79.0	-107.13878	34.154354	36.805824	-124.68413	280000	-0.050120316	11973.191	-0.0009736838	-555.88574	1.2066512	0.0006434973	235.36704897880554
28	-454.81412	89.89545	-250.54819	-758.4055	79.0	-109.44312	34.69019	11.664932	-127.98496	290000	-0.040248815	12474.648	-0.00042528752	-577.67285	1.1992419	0.00030587515	243.40396523475647
29	-465.2209	80.57098	-244.70312	-658.1388	79.0	-112.03203	35.632484	11.5751915	-131.37888	300000	-0.038969107	12119.73	-0.0005065545	-611.573	1.1864235	0.0007727763	251.4807848930359
30	-452.55215	80.94736	-244.35208	-636.69165	79.0	-115.24125	36.801865	20.452274	-134.84882	310000	-0.0655362	11039.516	-0.0013763297	-565.0823	1.1566863	0.000889829	260.13141107559204
31	-469.11847	88.92409	-280.25034	-685.99786	79.0	-115.87543	39.27734	13.961989	-138.15602	320000	-0.057623293	11872.949	-0.0008280128	-616.1443	1.1305437	0.0008358429	268.22158312797546
32	-441.88596	92.16682	-133.67934	-637.3449	79.0	-118.74435	39.784405	22.842415	-141.60063	330000	-0.04204715	9820.648	-0.0008724779	-519.47095	1.1194468	0.0011397859	276.3316514492035
33	-454.44122	81.86681	-198.17694	-691.68604	79.0	-120.40754	41.60729	26.80574	-144.74228	340000	-0.057978805	9768.8125	-0.00047861488	-519.1599	1.0761349	0.00081014255	284.37215518951416
